ATHLETE,TIME,DATE,YEAR,COUNTRY,GENDER
Jean Bouin,30:58.8,11/16/1911,1911,France,MALE
Paavo Nurmi,30:40.2,6/22/1921,1921,Finland,MALE
Ville Ritola,30:35.4,5/25/1924,1924,Finland,MALE
Ville Ritola,30:23.2,7/6/1924,1924,Finland,MALE
Paavo Nurmi,30:06.2,8/31/1924,1924,Finland,MALE
Ilmari Salminen,30:05.6,7/18/1937,1937,Finland,MALE
Taisto Maki,30:02.0,9/29/1938,1938,Finland,MALE
Taisto Maki,29:52.6,9/17/1939,1939,Finland,MALE
Viljo Heino,29:35.4,8/25/1944,1944,Finland,MALE
Emil Zatopek,29:28.2,6/11/1949,1949,Czech Republic,MALE
Viljo Heino,29:27.2,9/1/1949,1949,Finland,MALE
Emil Zatopek,29:21.2,10/22/1949,1949,Czech Republic,MALE
Emil Zatopek,29:02.6,8/4/1950,1950,Czech Republic,MALE
Emil Zatopek,29:01.6,11/1/1953,1953,Czech Republic,MALE
Emil Zatopek,28:54.2,6/1/1954,1954,Czech Republic,MALE
Sandor Iharos,28:42.8,7/15/1956,1956,Hungaria,MALE
Vladimir Kuts,28:30.4,9/11/1956,1956,Soviet Union,MALE
Pyotr Bolotnikov,28:18.8,10/15/1960,1960,Soviet Union,MALE
Pyotr Bolotnikov,28:18.2,8/11/1962,1962,Soviet Union,MALE
Ron Clarke,28:15.6,12/18/1963,1963,Australia,MALE
Ron Clarke,27:39.4,7/14/1965,1965,Australia,MALE
Lasse Viren,27:38.4,9/3/1972,1972,Finland,MALE
David Bedford,27:30.8,7/13/1973,1973,United Kingdom,MALE
Samson Kimobwa,27:30.5,6/30/1977,1977,Kenya,MALE
Henry Rono,27:22.4,6/11/1978,1978,Kenya,MALE
Fernando Mamede,27:13.8,7/2/1984,1984,Portugal,MALE
Arturo Barrios,27:08.2,8/18/1989,1989,Mexico,MALE
Richard Chelimo,27:07.9,7/5/1993,1993,Kenya,MALE
Yobes Ondieki,26:58.4,7/10/1993,1993,Kenya,MALE
William Sigei,26:52.2,7/22/1994,1994,Kenya,MALE
Haile Gebrselassie,26:43.5,6/5/1995,1995,Ethiopia,MALE
Salah Hissou,26:38.1,8/23/1996,1996,Morocco,MALE
Haile Gebrselassie,26:31.3,7/4/1997,1997,Ethiopia,MALE
Paul Tergat,26:27.9,8/22/1997,1997,Kenya,MALE
Haile Gebrselassie,26:22.7,6/1/1998,1998,Ethiopia,MALE
Kenenisa Bekele,26:20.3,6/8/2004,2004,Ethiopia,MALE
Kenenisa Bekele,26:17.5,8/26/2005,2005,Ethiopia,MALE
Gertrud Schmidt,39:25.0,1/1/1966,1966,Germany,FEMALE
Hannelore Middeke,39:10.0,1/2/1966,1966,Germany,FEMALE
Ann O'Brien,38:06.4,3/26/1967,1967,Ireland,FEMALE
Paola Pigni,35:30.5,5/9/1970,1970,Italy,FEMALE
Kathy Gibbons,34:51.0,6/12/1971,1971,United States,FEMALE
Julie Brown,35:00.4,3/29/1975,1975,United States,FEMALE
Christa Vahlensieck,34:01.4,8/20/1975,1975,West Germany,FEMALE
Loa Olafsson,33:34.2,3/19/1977,1977,Denmark,FEMALE
Peg Neppel,33:15.1,6/9/1977,1977,United States,FEMALE
Natalia Marasescu,32:43.2,1/22/1978,1978,Romania,FEMALE
Loa Olafsson,32:45.4,4/6/1978,1978,Denmark,FEMALE
Olga Krentser,32:30.8,8/7/1981,1981,Soviet Union,FEMALE
Yelena Sipatova,32:17.2,10/19/1981,1981,Soviet Union,FEMALE
Mary Decker-Slaney,31:35.3,7/16/1982,1982,United States,FEMALE
Lyudmila Baranova,31:35.0,5/29/1983,1983,Soviet Union,FEMALE
Raisa Sadreydinova,31:27.6,9/7/1983,1983,Soviet Union,FEMALE
Olga Bondarenko,31:13.8,6/24/1984,1984,Soviet Union,FEMALE
Ingrid Kristiansen,30:59.4,7/27/1985,1985,Norway,FEMALE
Ingrid Kristiansen,30:13.7,7/5/1986,1986,Norway,FEMALE
Wang Junxia,29:31.8,9/8/1993,1993,China,FEMALE
Almaz Ayana,29:17.4,8/12/2016,2016,Ethiopia,FEMALE
