ATHLETE,TIME,DATE,YEAR,COUNTRY,GENDER
Johnny Hayes,2:55:18,7/24/1908,1908,United States,MALE
Robert Fowler,2:52:45,1/1/1909,1909,United States,MALE
James Clark,2:46:52,2/12/1909,1909,United States,MALE
Albert Raines,2:46:04,5/8/1909,1909,United States,MALE
Henry Barret,2:42:31,5/26/1909,1909,United Kingdom,MALE
Thure Johansson,2:40:34,8/31/1909,1909,Sweden,MALE
Harry Green,2:38:16,5/12/1913,1913,United Kingdom,MALE
Alexis Ahlgren,2:36:06,5/31/1913,1913,Sweden,MALE
Hannes Kolehmainen,2:32:35,8/22/1920,1920,Finland,MALE
Albert Michelsen,2:29:01,10/12/1925,1925,United States,MALE
Fusashige Suzuki,2:27:49,3/31/1935,1935,Japan,MALE
Yasuo Ikenaka,2:26:44,4/3/1935,1935,Japan,MALE
Sohn Kee-chung,2:26:42,11/3/1935,1935,Japan,MALE
Suh Yun-bok,2:25:39,4/19/1947,1947,Korea,MALE
Jim Peters,2:20:42,6/14/1952,1952,United Kingdom,MALE
Jim Peters,2:18:40,6/13/1953,1953,United Kingdom,MALE
Jim Peters,2:18:34,10/4/1953,1953,United Kingdom,MALE
Jim Peters,2:17:39,6/26/1954,1954,United Kingdom,MALE
Sergei Popov,2:15:17,8/24/1958,1958,Soviet Union,MALE
Abebe Bikila,2:15:16,9/10/1960,1960,Ethiopia,MALE
Toru Teresawa,2:15:15,2/17/1963,1963,Japan,MALE
Leonard Edelen,2:14:28,6/15/1963,1963,United States,MALE
Basil Heatley,2:13:55,6/13/1964,1964,United Kingdom,MALE
Abebe Bikila,2:12:11,10/21/1964,1964,Ethiopia,MALE
Morio Shigematsu,2:12:00,6/12/1965,1965,Japan,MALE
Derek Clayton,2:09:36,12/3/1967,1967,Australia,MALE
Derek Clayton,2:08:33,5/30/1969,1969,Australia,MALE
Robert De Castella,2:08:18,12/6/1981,1981,Australia,MALE
Steve Jones,2:08:05,10/21/1984,1984,United Kingdom,MALE
Carlos Lopes,2:07:12,4/20/1985,1985,Portugal,MALE
Belayneh Dinsamo,2:06:50,4/17/1988,1988,Ethiopia,MALE
Ronaldo da Costa,2:06:05,9/20/1998,1998,Brazil,MALE
Khalid Khannouchi,2:05:43,10/24/1999,1999,Morocco,MALE
Khalid Khannouchi,2:05:38,4/14/2002,2002,United States,MALE
Paul Tergat,2:04:55,9/28/2003,2003,Kenya,MALE
Haile Gebrselassie,2:04:26,9/30/2007,2007,Ethiopia,MALE
Haile Gebrselassie,2:03:59,9/28/2008,2008,Ethiopia,MALE
Patrick Makau,2:03:38,9/25/2011,2011,Kenya,MALE
Wilson Kipsang,2:03:23,9/29/2013,2013,Kenya,MALE
Dennis Kimetto,2:02:57,9/28/2014,2014,Kenya,MALE
Eliud Kipchoge,2:01:39,9/16/2018,2018,Kenya,MALE
