ATHLETE,TIME,DATE,YEAR,COUNTRY,GENDER
Johnny Hayes,2:55:18,7/24/1908,1908,United States,Male
Robert Fowler,2:52:45,1/1/1909,1909,United States,Male
James Clark,2:46:52,2/12/1909,1909,United States,Male
Albert Raines,2:46:04,5/8/1909,1909,United States,Male
Henry Barret,2:42:31,5/26/1909,1909,United Kingdom,Male
Thure Johansson,2:40:34,8/31/1909,1909,Sweden,Male
Harry Green,2:38:16,5/12/1913,1913,United Kingdom,Male
Alexis Ahlgren,2:36:06,5/31/1913,1913,Sweden,Male
Hannes Kolehmainen,2:32:35,8/22/1920,1920,Finland,Male
Albert Michelsen,2:29:01,10/12/1925,1925,United States,Male
Fusashige Suzuki,2:27:49,3/31/1935,1935,Japan,Male
Yasuo Ikenaka,2:26:44,4/3/1935,1935,Japan,Male
Sohn Kee-chung,2:26:42,11/3/1935,1935,Japan,Male
Suh Yun-bok,2:25:39,4/19/1947,1947,Korea,Male
Jim Peters,2:20:42,6/14/1952,1952,United Kingdom,Male
Jim Peters,2:18:40,6/13/1953,1953,United Kingdom,Male
Jim Peters,2:18:34,10/4/1953,1953,United Kingdom,Male
Jim Peters,2:17:39,6/26/1954,1954,United Kingdom,Male
Sergei Popov,2:15:17,8/24/1958,1958,Soviet Union,Male
Abebe Bikila,2:15:16,9/10/1960,1960,Ethiopia,Male
Toru Teresawa,2:15:15,2/17/1963,1963,Japan,Male
Leonard Edelen,2:14:28,6/15/1963,1963,United States,Male
Basil Heatley,2:13:55,6/13/1964,1964,United Kingdom,Male
Abebe Bikila,2:12:11,10/21/1964,1964,Ethiopia,Male
Morio Shigematsu,2:12:00,6/12/1965,1965,Japan,Male
Derek Clayton,2:09:36,12/3/1967,1967,Australia,Male
Derek Clayton,2:08:33,5/30/1969,1969,Australia,Male
Robert De Castella,2:08:18,12/6/1981,1981,Australia,Male
Steve Jones,2:08:05,10/21/1984,1984,United Kingdom,Male
Carlos Lopes,2:07:12,4/20/1985,1985,Portugal,Male
Belayneh Dinsamo,2:06:50,4/17/1988,1988,Ethiopia,Male
Ronaldo da Costa,2:06:05,9/20/1998,1998,Brazil,Male
Khalid Khannouchi,2:05:43,10/24/1999,1999,Morocco,Male
Khalid Khannouchi,2:05:38,4/14/2002,2002,United States,Male
Paul Tergat,2:04:55,9/28/2003,2003,Kenya,Male
Haile Gebrselassie,2:04:26,9/30/2007,2007,Ethiopia,Male
Haile Gebrselassie,2:03:59,9/28/2008,2008,Ethiopia,Male
Patrick Makau,2:03:38,9/25/2011,2011,Kenya,Male
Wilson Kipsang,2:03:23,9/29/2013,2013,Kenya,Male
Dennis Kimetto,2:02:57,9/28/2014,2014,Kenya,Male
Eliud Kipchoge,2:01:39,9/16/2018,2018,Kenya,Male
Violet Piercy,3:40:22,10/3/1926,1926,United Kingdom,Female
Merry Lepper,3:37:07,12/16/1963,1963,United States,Female
Dale Greig,3:27:45,5/23/1964,1964,United Kingdom,Female
Mildred Sampson,3:19:33,7/21/1964,1964,New Zealand,Female
Maureen Wilton,3:15:23,5/6/1967,1967,Canada,Female
Anni Pede-Erdkamp,3:07:27,9/16/1967,1967,West Germany,Female
Caroline Walker,3:02:53,2/28/1970,1970,United States,Female
Elizabeth Bonner,3:01:42,5/9/1971,1971,United States,Female
Elizabeth Bonner,2:55:22,9/19/1971,1971,United States,Female
Cheryl Bridges,2:49:40,12/5/1971,1971,United States,Female
Michiko Gorman,2:46:36,12/2/1973,1973,United States,Female
Chantal Langlace,2:46:24,10/27/1974,1974,France,Female
Jacqueline Hansen,2:43:54,12/1/1974,1974,United States,Female
Liane Winter,2:42:24,4/21/1975,1975,West Germany,Female
Christa Vahlensieck,2:40:15,5/3/1975,1975,West Germany,Female
Jacqueline Hansen,2:38:19,10/12/1975,1975,United States,Female
Chantal Langlace,2:35:15,5/1/1977,1977,France,Female
Christa Vahlensieck,2:34:47,9/10/1977,1977,West Germany,Female
Grete Waltz,2:32:29,10/22/1978,1978,Norway,Female
Grete Waltz,2:27:32,10/21/1979,1979,Norway,Female
Grete Waltz,2:25:41,10/26/1980,1980,Norway,Female
Allison Roe,2:25:28,10/25/1981,1981,New Zealand,Female
Grete Waltz,2:25:28,4/17/1983,1983,Norway,Female
Joan Benoit,2:22:43,4/18/1983,1983,United States,Female
Ingrid Kristiansen,2:21:06,4/21/1985,1985,Norway,Female
Tegla Loroupe,2:20:47,4/19/1998,1998,Kenya,Female
Tegla Loroupe,2:20:43,9/26/1999,1999,Kenya,Female
Naoko Takahashi,2:19:46,9/30/2001,2001,Japan,Female
Catherine Ndereba,2:18:47,10/7/2001,2001,Kenya,Female
Paula Radcliffe,2:17:18,10/13/2002,2002,United Kingdom,Female
Paula Radcliffe,2:15:25,4/13/2003,2003,United Kingdom,Female
