ATHLETE,TIME,DATE,YEAR,COUNTRY,GENDER
Charles Westhall,4:28,06/26/1855,1855,United Kingdom,MALE
Thomas Horspool,4:28,09/28/1857,1857,United Kingdom,MALE
Thomas Horspool,4:23,07/12/1858,1858,United Kingdom,MALE
Siah Albison,04:22.3,10/27/1860,1860,United Kingdom,MALE
William Lang,04:21.7,07/11/1863,1863,United Kingdom,MALE
Edward Mills,04:20.5,04/23/1864,1864,United Kingdom,MALE
Edward Mills,4:20,06/25/1864,1864,United Kingdom,MALE
William Lang,04:17.2,08/19/1865,1865,United Kingdom,MALE
William Richards,04:17.2,08/19/1865,1865,United Kingdom,MALE
William Cummings,04:16.2,05/14/1881,1881,United Kingdom,MALE
Walter George,04:12.8,08/23/1886,1886,United Kingdom,MALE
Norman Taber,04:12.6,16-Jul-15,1915,United States,MALE
Paavo Nurmi,04:10.4,8/23/23,1923,Finland,MALE
